27 Feb. 2025,WENDY'S RESTAURANTS NEWMARKET,,$29.76
27 Feb. 2025,MARKET BREWING COMPAN NEWMARKET,,$10.64
27 Feb. 2025,MARKET BREWING COMPAN NEWMARKET,,$10.92
24 Feb. 2025,SHELBY'S BRAMPTON,,$14.68
24 Feb. 2025,THE MIND PEOPLE NORTH VANCOUVER,,$200.00
24 Feb. 2025,PAYMENT RECEIVED - THANK YOU,,"-$1,657.05"
24 Feb. 2025,MEMBERSHIP FEE INSTALLMENT,,$12.99
23 Feb. 2025,SESSIONS CANNABIS AUROR AURORA,,$34.50
23 Feb. 2025,TEMU.COM VICTORIA,,$63.53
22 Feb. 2025,W.O STINSON & SON NAPA NAPANEE,,$30.16
22 Feb. 2025,ONROUTE TRENTON SOUTH,,$8.45
22 Feb. 2025,ONROUTE TRENTON SOUTH,,$7.90
22 Feb. 2025,MARKET BRIGHTON,,$7.90
22 Feb. 2025,MARKET BRIGHTON,,$3.94
22 Feb. 2025,DOLLARAMA #1247 EAST GWILLIMBUR,,$16.10
21 Feb. 2025,APPLIANCE MASTERS PROFE Vaughan,,$111.87
20 Feb. 2025,Plastiq = Town of Newma Newmarket,,$654.45
19 Feb. 2025,ALI*ALIEXPRESS ALIEXPRE SINGAPORE,,$42.14
19 Feb. 2025,DOLLARAMA #1247 EAST GWILLIMBUR,,$10.12
18 Feb. 2025,WHAT A BAGEL 001 EAST GWILLIMB,,$14.46
17 Feb. 2025,MARSHALLS 663 NEWMARKET,,$20.66
15 Feb. 2025,OLD FLAME BREWING CO. L NEWMARKET,,$13.00
14 Feb. 2025,THE WOODS CANNABIS 2125 AURORA,,$12.33
14 Feb. 2025,MINE JAPANESE RESTAURAN AURORA,,$102.66
13 Feb. 2025,PETVALU NEWMARKET EAST GWILLIMBUR,,$40.96
10 Feb. 2025,THE MIND PEOPLE NORTH VANCOUVER,,$200.00
10 Feb. 2025,MCDONALD'S #40403 EAST GWILLIMBUR,,$7.30
08 Feb. 2025,PETSMART INC. 2024 VAUGHAN,,$54.83
08 Feb. 2025,MARSHALLS 704 VAUGHAN,,$3.74
08 Feb. 2025,DOLLARAMA # 627 VAUGHAN,,$38.14
08 Feb. 2025,EARLS VAUGHAN Woodbridge,,$53.80
03 Feb. 2025,THE MIND PEOPLE NORTH VANCOUVER,,$200.00
02 Feb. 2025,UBER TRIP HTTPS://HELP.UB,,$8.90
02 Feb. 2025,UBER TRIP HTTPS://HELP.UB,,$10.79
02 Feb. 2025,UBER TRIP HTTPS://HELP.UB,,$0.40
02 Feb. 2025,PAYMENT RECEIVED - THANK YOU,,"-$1,303.76"
02 Feb. 2025,LA FITNESS BRAMPTON,,$56.50
24 Jan. 2025,MEMBERSHIP FEE INSTALLMENT,,$12.99
20 Jan. 2025,THE MIND PEOPLE NORTH VANCOUVER,,$200.00
18 Jan. 2025,SHENGJIAN KING MARKHAM,,$19.98
14 Jan. 2025,MA'S BEST SOUPS 2104486 NEWMARKET,,$32.01
14 Jan. 2025,=KIBONEWMARKET 001 NEWMARKET,,$6.27
13 Jan. 2025,THE MIND PEOPLE NORTH VANCOUVER,,$200.00
12 Jan. 2025,FOOD BASICS 842 NEWMARKET,,$85.09
11 Jan. 2025,DOMINOS PIZZA #10354 NEWMARKET,,$56.33
10 Jan. 2025,# 824 PARTY CITY NEWMARKET,,$29.35
09 Jan. 2025,SHELL C05285 EAST GWILLIMB,,$44.71
09 Jan. 2025,AMZN MKTP CA*ZD94K9CE1 WWW.AMAZON.CA,,$70.39
09 Jan. 2025,BBYMARKETPLACE*PULSELAB RICHMOND,,$370.63
09 Jan. 2025,BULLSEYE AXE THROWING 2 NEWMARKET,,$35.00
09 Jan. 2025,BULLSEYE AXE THROWING 2 NEWMARKET,,$67.80
09 Jan. 2025,DOLLARAMA #1247 EAST GWILLIMBUR,,$3.63
06 Jan. 2025,SHELL C05285 EAST GWILLIMB,,$65.08
06 Jan. 2025,AMD THORNHILL,,$4.50
